question,answer,design_style
How would you like the room to look after the redesign?,I want a urban loft feeling with iron and wood that feels comfortable and well-designed.,industrial
How would you like the room to look after the redesign?,I want a cozy atmosphere with nostalgic elements that feels comfortable and well-designed.,rustic
How would you like the room to look after the redesign?,I want a ornate elements with a timeless luxurious feel that feels comfortable and well-designed.,classic
How do you want the room to feel when someone walks in?,I want a balanced layout with decorative moldings that feels comfortable and well-designed.,classic
How do you want the room to feel when someone walks in?,"I want a rich details, symmetry, and deep elegant colors that feels comfortable and well-designed.",classic
How would you like the room to look after the redesign?,I want a handcrafted furniture and a homey feeling that feels comfortable and well-designed.,rustic
How do you want the room to feel when someone walks in?,I want a clean lines and a monochrome color palette that feels comfortable and well-designed.,modern
Describe your dream version of this room.,I want a minimal furniture with sharp geometric shapes that feels comfortable and well-designed.,modern
What kind of materials and colors do you imagine for the space?,I want a minimal furniture with sharp geometric shapes that feels comfortable and well-designed.,modern
How would you like the room to look after the redesign?,I want a balanced layout with decorative moldings that feels comfortable and well-designed.,classic
Describe the feeling and atmosphere you want in the room.,I want a soft lighting and warm wooden textures that feels comfortable and well-designed.,rustic
Describe the feeling and atmosphere you want in the room.,I want a light wood furniture and minimal decoration that feels comfortable and well-designed.,scandinavian
Describe the feeling and atmosphere you want in the room.,I want a light wood furniture and minimal decoration that feels comfortable and well-designed.,scandinavian
How do you want the room to feel when someone walks in?,I want a handcrafted furniture and a homey feeling that feels comfortable and well-designed.,rustic
Describe the feeling and atmosphere you want in the room.,"I want a warm tones, pillows, and hanging greenery that feels comfortable and well-designed.",boho_chic
Describe the feeling and atmosphere you want in the room.,I want a glass and metal elements with a functional layout that feels comfortable and well-designed.,modern
What kind of materials and colors do you imagine for the space?,"I want a soft rugs, pale colors, and an open uncluttered layout that feels comfortable and well-designed.",scandinavian
How would you like the room to look after the redesign?,I want a eclectic mix of patterns and lots of plants that feels comfortable and well-designed.,boho_chic
How do you want the room to feel when someone walks in?,I want a natural wood and warm earthy colors that feels comfortable and well-designed.,rustic
What kind of materials and colors do you imagine for the space?,I want a handcrafted furniture and a homey feeling that feels comfortable and well-designed.,rustic
How do you want the room to feel when someone walks in?,I want a metal frames and dark colors with a rough finish that feels comfortable and well-designed.,industrial
What kind of materials and colors do you imagine for the space?,I want a clean lines and a monochrome color palette that feels comfortable and well-designed.,modern
What kind of materials and colors do you imagine for the space?,I want a metal frames and dark colors with a rough finish that feels comfortable and well-designed.,industrial
Describe the feeling and atmosphere you want in the room.,I want a traditional materials and refined finishes that feels comfortable and well-designed.,classic
Describe the feeling and atmosphere you want in the room.,I want a rich colors and layered ethnic textiles that feels comfortable and well-designed.,boho_chic
